1.121265, -5.870448, 1.715003
1.116327, -5.601048, 1.688233
1.108397, -5.310113, 1.636675
1.113350, -5.045939, 1.533053
1.149682, -4.769081, 1.484432
1.189268, -4.500941, 1.473966
1.231213, -4.234710, 1.461620
1.279822, -3.947514, 1.451068
1.320389, -3.696117, 1.462378
1.362386, -3.419773, 1.453867
1.406577, -3.137251, 1.448648
1.440985, -2.868739, 1.448766
1.475284, -2.610418, 1.447521
1.508154, -2.350612, 1.448395
